"Color.Score","Fragment.ID","Treatment","Group"
"A",-1.23400066894034,"A","BT2-not-fed","BT2-not-fed"
"B",-1.22962539574819,"B","BT2-not-fed","BT2-not-fed"
"C",0.492958076884387,"C","BT4-not-fed","BT4-not-fed"
"D",0.39436736449063,"D","BT4-not-fed","BT4-not-fed"
"E",0.835120651395806,"E","BT4-fed","BT4-fed"
"F",0.741179971917705,"F","BT4-fed","BT4-fed"
