Sample.ID,Jar_number,color_estimate,Fo,Fm,Y,color-score,notes
34,12,pale,398,1239,6780000,-1.2340007,Hannah coral in BT2
40,7,pale,342,1195,7130000,-1.2296254,Hannah coral in BT2
19,10,light-color,330,889,6280000,0.49295808,Molly coral inconsitent feeding in BT4
10,4,light-color,314,950,6690000,0.39436736,Molly coral inconsitent feeding in BT4
44,9,bright-color,349,1144,6690000,0.83512065,Molly consistent feeding in BT4
43,5,bright-color,350,1262,7220000,0.74117997,Molly consistent feeding in BT4
